Updated 3/22/2024,,,,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,CID,CRPName,Party,DistIDRunFor,FECCandID,,,
,N00050172,"Alonso Leon, Teresa",D,OR06,H2OR06108,,,
,N00042842,"Alspach, James Dean",R,IN06,H8IN09131,,,
,N00048788,"Altman, Tommy",R,VA02,H2VA02072,,,
,N00049798,"Alvarado, Eliza",D,TX15,H2TX15146,,,
,N00046982,"Alvarez, Andrew",R,TX27,H2TX22134,,,
,N00052079,"Alvarez, Antonio",3,INS2,S2IN00364,,,
,N00040663,"Alvarez, Simon Mark",D,CA34,H8CA34340,,,
,N00048694,"Alvey, Andrew",R,GA10,H2GA10174,,,
,N00048460,"Amato, Bruno",D,CA23,H2CA23148,,,
,N00051873,"Ambrose, David",I,AK01,H2AK00556,,,
,N00051062,"Ambrose, Mark",R,MI11,H2MI11265,,,
,N00050855,"Ambrose, Nicolee",R,MD02,H2MD02368,,,
,N00051924,"Amicucci, Alexander",I,OH03,H2OH03208,,,
,N00031177,"Amodei, Mark",R,NV02,H2NV02395,,,
,N00007929,"Amundson, Thor",I,WAS2,S8WA00137,,,
,N00047855,"Anabilah-Azumah, Joel",I,NYS2,S2NY00341,,,
,N00046698,"Anantatmula, Manga",R,VA11,H0VA11127,,,
,N00047987,"Anders, Bob",R,MO02,H2MO02169,,,
,N00050077,"Andersen, Carl",R,CO07,H2CO07196,,,
,N00050545,"Anderson, Alton",3,UTS2,S2UT00393,,,
,N00050788,"Anderson, Avery",D,AZ06,H2AZ06312,,,
,N00051122,"Anderson, David",I,WA09,H2WA09172,,,
,N00048050,"Anderson, David Jr",D,TX21,H2TX35102,,,
,N00049349,"Anderson, Derrick",R,VA07,H2VA07170,,,
,N00049286,"Anderson, Dwight",D,FL20,H2FL20316,,,
,N00049877,"Anderson, Jessica",D,VA01,H2VA01108,,,
,N00052072,"Anderson, John",I,CTS2,S2CT00355,,,
,N00032090,"Anderson, John",R,OH06,H0OH07104,,,
,N00049983,"Anderson, Teal'C",3,COS1,S2CO00266,,,
,N00048144,"Anderson, Terell",D,AL02,H2AL02158,,,
,N00050152,"Anderson, Toby",R,NJ11,H2NJ11228,,,
,N00051280,"Anderson, Warren Lee",D,MN01,H2MN01314,,,
,N00051697,"Andra, Mike",D,KSS2,S2KS00147,,,
,N00049765,"Andrews, Annie",D,SC01,H2SC01127,,,
,N00051187,"Andrews, Jeanette",R,KY05,H2KY05193,,,
,N00051345,"Andrews, Mark",I,CA09,H2CA09162,,,
,N00050926,"Andrews, Naomi",D,OK02,H2OK02307,,,
,N00051070,"Andriani, Mike",R,NC09,H2NC09217,,,
,N00049666,"Aneralla, John",R,NC13,H2NC13227,,,
,N00049586,"Angel, Angela",D,MD04,H2MD04349,,,
,N00048480,"Ani, Sylvester Jr",D,CA38,H2CA38252,,,
,N00050085,"Anthony, Daniel",R,FL09,H2FL09251,,,
,N00051911,"Antisell, Eric",3,NJ06,H2NJ06244,,,
,N00050537,"Antoine, Greg",D,NCS2,S2NC00711,,,
,N00048925,"Antonelli, Jeff",D,TX14,H2TX14214,,,
,N00048895,"Antonucci, Nick",D,NY01,H2NY01141,,,
,N00045980,"Aquino, Darren",R,FL26,H0FL19163,,,
,N00048008,"Aragon, Eddy",R,NM01,H2NM01235,,,
,N00049859,"Aragona, Jenai",R,TX35,H2TX35185,,,
,N00044758,"Arballo, Phil",D,CA13,H0CA22102,,,
,N00047961,"Ardoin, Chelsea",R,LA02,H2LA02172,,,
,N00049521,"Arianas, Peter Steven",R,FL22,H2FL21140,,,
,N00048445,"Arkoosh, Val",D,PAS1,S2PA00463,,,
,N00045161,"Armendariz-Jackson, Irene",R,TX16,H0TX16106,,,
,N00051315,"Armstrong, Jay",R,AK01,H2AK00267,,,
,N00042868,"Armstrong, Kelly",R,ND01,H8ND00096,,,
,N00051084,"Armstrong, Sean",L,NJ09,H2NJ09149,,,
,N00030295,"Arnold, Keith",D,WA08,H8WA08080,,,
,N00050518,"Arnold, Marie",D,CAS1,S2CA01219,,,
,N00049599,"Arraf, Huwaida",D,MI10,H2MI10127,,,
,N00041602,"Arredondo-Lynch, Alma",R,TX23,H2TX23140,,,
,N00050307,"Arreguin, Luis",D,CA18,H2CA18171,,,
,N00038285,"Arrington, Jodey",R,TX19,H6TX19099,,,
,N00041593,"Arrington, Katie",R,SC01,H2SC01150,,,
,N00051413,"Arroyo, Marcos",R,NJ08,H2NJ08299,,,
,N00048286,"Arthur, Barbara",R,SC07,H2SC07231,,,
,N00048406,"Arview, Tim",R,ILS2,S2IL00150,,,
,N00049563,"Asare, Isak",D,IN09,H2IN09233,,,
,N00051384,"Asencio, Robert",D,FL28,H2FL28038,,,
,N00049070,"Asensio, Manuel",R,FL03,H2FL03197,,,
,N00005697,"Ashby, Ken",L,TX33,H8TX05052,,,
,N00048474,"Aslanpour, Simon",R,CA10,H2CA10186,,,
,N00045076,"Atencio, Rudy",R,TX07,H2TX08109,,,
,N00049168,"Atholi, Aditya",R,TX01,H2TX01104,,,
,N00049074,"Atkinson, Eric",D,FL10,H2FL10242,,,
,N00048545,"Atkinson, John",D,NY01,H2NY01109,,,
,N00051000,"Atwood, Frank",3,COS1,S2CO00308,,,
,N00048652,"Aubart, Scott",3,WIS2,S2WI00375,,,
,N00045506,"Auchincloss, Jake",D,MA04,H0MA04192,,,
,N00048521,"August, David",I,MD06,H2MD06286,,,
,N00044829,"Ausbrooks, Jimmy",D,KY01,H2KY01085,,,
,N00051598,"Ausman, Richard",D,WI07,H2WI07123,,,
,N00048996,"Austin, Gerald",R,NC06,H2NC06080,,,
,N00050880,"Austin, Kyle",R,MT02,H2MT02175,,,
,N00050313,"Austin, Peter Dumond",I,CA26,H2CA26174,,,
,N00047701,"Autiameineire, Keivaulqe",I,CA28,H2CA27230,,,
,N00050317,"Auzenne, Oray",D,CA39,H2CA39169,,,
,N00049743,"Avery, Caroline",L,PA01,H2PA01123,,,
,N00048239,"Avery, Hunter",D,MS01,H2MS01130,,,
,N00050075,"Avion, Orlondo",D,CO05,H2CO05224,,,
,N00043537,"Awgowhat, Leo",R,TN09,H8TN09122,,,
,N00049329,"Awtrey, Patrick",R,OH14,H2OH14106,,,
,N00041104,"Axne, Cindy",D,IA03,H8IA03124,,,
,N00048679,"Ayala, Aramis",D,FL10,H2FL10192,,,
,N00051547,"Azma, Arya",D,OKS1,S2OK00327,,,
,N00045432,"Baan, Andy",R,VA02,H0VA02167,,,
,N00050206,"Babb, Joe",R,VA11,H2VA11248,,,
,N00051922,"Baber, Darryl",L,NV02,H2NV02601,,,
,N00005736,"Babin, Brian",R,TX36,H6TX02079,,,
,N00037049,"Bacon, Donald John",R,NE02,H6NE02125,,,
,N00000904,"Bacon, Roger",D,NJ07,H2NJ02060,,,
,N00048018,"Baddar, Youseff",I,OH09,H2OH05047,,,
,N00049874,"Badger, Andrew",R,UT01,H2UT01268,,,
,N00044531,"Badger, John",I,LA05,H0LA05088,,,
,N00049303,"Badhasso, Amane",D,MN04,H2MN04169,,,
,N00052076,"Baer, Thomas",I,INS2,S2IN00331,,,
,N00050461,"Bah, Omar",D,RI02,H2RI02218,,,
,N00048553,"Bahar, Hugh",R,NY23,H2NY23111,,,
,N00051902,"Bailey, Jacob",3,IN09,H2IN09324,,,
,N00048580,"Bailey, Kathleen Cordelia",D,TX05,H2TX05238,,,
,N00049062,"Bailey, Richard",R,CA52,H2CA52154,,,
,N00048032,"Bailey, William",R,SC07,H2SC07181,,,
,N00041954,"Baird, Jim",R,IN04,H8IN04199,,,
,N00051162,"Baker, Dennis",D,OKS1,S2OK00269,,,
,N00050365,"Baker, Jim",R,IN09,H2IN01214,,,
,N00049538,"Baker, Mark",D,GA13,H2GA13087,,,
,N00047403,"Baker, Richard",I,TN01,H0TN01191,,,
,N00050351,"Baker, Ronald",D,GA14,H2GA14127,,,
,N00047926,"Balasinski, Chris",I,CA48,H2CA48111,,,
,N00042194,"Balderson, Troy",R,OH12,H8OH12180,,,
,N00049900,"Balint, Becca",D,VT01,H2VT01076,,,
